,Drenaje,variedad,tratSemilla,tipLab,ano,deshierbe,escarda,rastraprebarbecho,subsoleocinceleopiqueoescarificado,barbecho,rastreo,nivelacion,trazosurci,reformacioncamassurcos,monocultivo,preparacionsueloherbicida,fertilizacionquimicasuelo,fertilizacionquimicafoliar,usobiofertilizantes,usomejoradores,controlquimicomalezasdespuessiembra,insecticida,fungicida,CE,n,p,k,Arcillapr,Limoprc,Arenaprc,PH,MO,CIC,SBprc,TXAvg,TMAvg,TAvg,DRAvg,RSAvg,RSAccu,TX34Freq,PAccu,P10Freq,TM8Freq,RHAvg,RHsd,rendimiento
18607_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,2,0,1,67.7294,172.66,45.12,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,28.24708253,17.32909706,22.78808979,10.91798547,450.1680104,52669.65722,0,1077.6,0.222222222,0,75.99008348,5.494790674,5.7
18608_1,D4,DEKALB370,S1,LabConvTra,2012,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,2,0,1,173.1,89.7,45,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,28.52045301,18.33375311,23.42710306,10.1866999,439.6665687,72984.65041,0,2159.8,0.295180723,0,77.81004387,5.112743556,7.14
27244_1,D4,DEKALB370,S0,LabConvTra,2013,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,2,2,0,1,128.5,34.5,30,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,27.8250846,17.59753617,22.71131038,10.22754843,404.073678,101018.4195,0.008,1052.8,0.104,0.004,80.12358822,5.627909644,3.75
90301_1,D4,DEKALB370,S0,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,2.87,0,0,22,23,55,5.219881885,1.0569118,13.67510446,34.51770002,30.74666667,18.78522013,24.7659434,11.96144654,440.6467925,70062.84,0.006289308,2.6,0,0,85.3745283,4.096604135,5.5
100690_1,D3,DEKALB370,S1,LabConvTra,2016,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,1,161,0,0,5,12,62,5.961770833,0.266354167,4.31,75.955,29.9985625,20.031125,25.01484375,9.9674375,410.5519375,65688.31,0.01875,296.86,0.0625,0,80.2195625,4.286188048,5
2665_1,D2,DEKALB380,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,2,2,0,1,170,23,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,30.43869048,17.12142857,23.78005952,13.3172619,351.649573,59077.12827,0.035714286,326.8,0.053571429,0,78.33267857,6.947307967,4.9
3089_1,D4,DEKALB380,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,1,0,1,82.8,0,60,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,33.78419663,22.41164101,28.09791882,11.37255563,358.8449905,56338.6635,0.47133758,2237.2,0.630573248,0,81.29056827,4.39470833,5
3090_1,D4,DEKALB380,S1,LabCeroMin,2012,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,2,1,0,1,17,17,17,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,33.77948904,22.43028681,28.10488793,11.34920223,358.4989661,55925.83871,0.474358974,2252.2,0.641025641,0,81.25965539,4.409143613,5.4
3090_2,D4,DEKALB380,S1,LabCeroMin,2012,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,2,1,0,1,17,17,17,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,33.77948904,22.43028681,28.10488793,11.34920223,358.4989661,55925.83871,0.474358974,2252.2,0.641025641,0,81.25965539,4.409143613,5
3418_1,D4,DEKALB380,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,1,0,1,69,0,60,39,22,39,6.69471934,2.553233491,29.79323821,79.9995283,33.76947922,22.40737193,28.08842557,11.36210728,358.9534016,56355.68405,0.464968153,2221.8,0.624203822,0,81.27679784,4.396408573,5
10902_1,D4,DEKALB380,S1,LabConvTra,2012,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,2,1,0,1,0,0,0,39,22,39,6.69471934,2.553233491,29.79323821,79.9995283,33.77849634,22.40352447,28.0910104,11.37497187,359.2871056,57845.22401,0.465838509,2277.8,0.627329193,0,81.18079609,4.5349181,6
10903_1,D4,DEKALB380,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,1,3,0,0,0,1,1,0,1,96,69,90,39,22,39,6.69471934,2.553233491,29.79323821,79.9995283,33.77998293,22.431564,28.10577347,11.34841893,358.6689629,56669.69614,0.46835443,2267.2,0.639240506,0,81.16536093,4.574767537,5
12218_1,D4,DEKALB380,S1,AgrCons,2012,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,2,0,1,188,69,0,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,29.51997889,19.9817807,24.75087979,9.538198183,361.6628898,62567.67994,0.046242775,6169.4,0.61849711,0,85.09931397,4.730979067,4
12359_1,D4,DEKALB380,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,2,2,0,1,225,46,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.05608267,18.07893035,23.06750651,9.977152326,279.7149346,44194.95966,0,1207.4,0.253164557,0.006329114,81.91931252,4.034102055,4.5
12768_1,D2,DEKALB380,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,1,133,46,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,30.51871345,17.20526316,23.8619883,13.31345029,353.4496975,60439.89827,0.035087719,345.8,0.058479532,0,78.33064327,6.898657682,4.5
12867_1,D4,DEKALB380,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,1,51.25,46,30,21,25,53,6.801249843,0.971386385,19.30618019,85.36964401,30.538125,17.34125,23.9396875,13.196875,359.6733017,57547.72827,0.0375,339.8,0.0625,0,78.9158125,6.631240478,4.6
12898_1,D2,DEKALB380,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,1,0,1,133,46,0,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,30.56906077,17.25414365,23.91160221,13.31491713,356.0901009,64452.30827,0.033149171,349.4,0.055248619,0,78.2361326,6.778809914,4.6
44034_1,D4,DEKALB390,S1,AgrCons,2014,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,1,0,1,165.6,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.68777272,17.79868885,23.24323078,10.88908387,417.0300644,74231.35146,0.011235955,795.4,0.123595506,0,82.20945522,5.64445856,5
45151_1,D2,DEKALB390,S1,LabConvTra,2014,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,2,1,0,2,101,23,30,47,23,30,7.878598485,1.254905303,30.23157197,100,28.6330429,17.713347,23.17319495,10.9196959,413.331022,68199.61862,0.012121212,599.8,0.103030303,0,82.42025769,5.765000069,4.2
45193_1,D4,DEKALB390,S1,AgrCons,2014,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,2,1,0,1,147,23,30,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,28.80634771,17.94331421,23.37483096,10.8630335,418.2539066,74030.94146,0.011299435,847,0.129943503,0,82.30092107,5.636727804,5.5
55818_1,D2,DEKALB390,S0,AgrCons,2015,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,2,0,1,188,69,60,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,29.6966107,18.76674784,24.23167927,10.92986286,396.1673447,78837.30159,0.035175879,386.73,0.075376884,0.010050251,78.14702195,5.502482357,3.2
55820_1,D2,DEKALB390,S0,AgrCons,2015,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,2,0,1,188,69,60,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,29.89919125,19.08797288,24.49358207,10.81121837,399.6040921,76324.38159,0.036649215,386.73,0.078534031,0,78.3972637,5.359462633,3.5
55822_1,D2,DEKALB390,S0,AgrCons,2015,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,1,2,0,1,188,69,60,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,29.74057983,18.99204846,24.36631415,10.74853137,394.0586604,71718.67619,0.032967033,379.73,0.082417582,0,78.46723828,5.468515992,3.5
55832_1,D2,DEKALB390,S0,AgrCons,2015,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,1,188,69,60,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,30.00598686,19.27177032,24.63887859,10.73421654,402.44525,75659.707,0.037234043,395.73,0.079787234,0,78.63477323,5.239398006,4
55908_1,D2,DEKALB390,S0,AgrCons,2015,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,2,0,1,161,0,150,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,30.03887654,19.24523528,24.64205591,10.79364126,402.9542395,73337.67159,0.038461538,386.73,0.082417582,0,78.67168883,5.285510987,3.5
60701_1,D4,DEKALB390,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,1,0,1,188,69,60,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,29.74793471,18.80734461,24.27763966,10.9405901,396.043984,75644.40094,0.031413613,384.73,0.078534031,0.010471204,78.21014328,5.601715184,4
88850_1,D4,DEKALB390,S1,LabConvTra,2016,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,0,1,153.75,0,0,22,23,55,5.219881885,1.0569118,13.67510446,34.51770002,30.95507538,19.06145729,25.00826633,11.89361809,444.1540704,88386.66,0.005025126,2.8,0,0,85.25145729,4.008492045,7.6
89233_1,D4,DEKALB390,S0,LabConvTra,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,2,1,0,1,253.24,0.17,0.13,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,30.78286517,18.29550562,24.53918539,12.48735955,438.395,78034.31,0.005617978,2.6,0,0,84.3794382,4.917083987,5
90358_1,D2,DEKALB390,S0,LabConvTra,2016,0,0,0,0,0,1,0,1,0,1,0,2,1,0,0,2,1,0,1,207.24,0.17,0.13,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,31.00567164,18.84393035,24.924801,12.16174129,446.7469154,89796.13,0.004975124,2.8,0,0,84.90542289,4.2182117,4
90730_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,0,1,102.5,0,0,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,30.96986014,19.57244755,25.27115385,11.39741259,449.9845455,64347.79,0,2.6,0,0,86.11013986,3.683181606,5.2
105956_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1,1,0,1,156.075,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.88487013,19.81454545,24.84970779,10.07032468,405.8561688,62501.85,0.012987013,254.47,0.058441558,0,80.2461039,4.362850497,4.5
106504_1,D3,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156.075,46,30,5,12,62,5.961770833,0.266354167,4.31,75.955,29.60304569,18.78685279,24.19494924,10.81619289,400.7775127,78953.17,0.020304569,266.47,0.045685279,0.005076142,79.3242132,4.811793655,4
106543_1,D4,DEKALB390,S0,AgrCons,2016,1,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,139.875,4.6,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.85559748,19.72207547,24.78883648,10.13352201,403.1147799,64095.25,0.012578616,254.47,0.056603774,0,80.22226415,4.307390165,5
106544_1,D2,DEKALB390,S0,AgrCons,2016,1,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156.075,46,30,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,29.74904192,19.57233533,24.66068862,10.17670659,397.5187425,66385.63,0.017964072,254.47,0.053892216,0,80.04526946,4.336181738,5
106546_1,D4,DEKALB390,S0,AgrCons,2016,1,0,0,0,1,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156.075,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.85559748,19.72207547,24.78883648,10.13352201,403.1147799,64095.25,0.012578616,254.47,0.056603774,0,80.22226415,4.307390165,5.5
118378_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,29.78331361,19.58094675,24.68213018,10.20236686,399.1150888,67450.45,0.017751479,254.47,0.053254438,0,80.01899408,4.319152343,4.5
118452_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.78331361,19.58094675,24.68213018,10.20236686,399.1150888,67450.45,0.017751479,254.47,0.053254438,0,80.01899408,4.319152343,4
118482_1,D2,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,29.55475936,18.96919786,24.26197861,10.5855615,398.264492,74475.46,0.016042781,256.47,0.048128342,0.005347594,79.44080214,4.861197571,4.5
118559_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.78331361,19.58094675,24.68213018,10.20236686,399.1150888,67450.45,0.017751479,254.47,0.053254438,0,80.01899408,4.319152343,3.5
128459_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.5656383,18.98159574,24.27361702,10.58404255,398.3574468,74891.2,0.015957447,256.47,0.04787234,0.005319149,79.43654255,4.848534071,2.5
128555_1,D2,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,51,16,33,7.197488844,1.532711559,34.55572422,96.0652222,29.52987283,18.4049691,23.96742097,11.12490373,402.8526363,88627.57999,0.022727273,258.67,0.040909091,0.009090909,78.43356804,5.526175657,4
128582_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,19,26,56,6.519458264,1.212579689,15.83198936,76.17500905,29.5482897,18.41218644,23.98023807,11.13610326,403.5959728,89194.70999,0.022624434,258.67,0.040723982,0.009049774,78.43644782,5.513768065,4
128594_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,29.85559748,19.72207547,24.78883648,10.13352201,403.1147799,64095.25,0.012578616,254.47,0.056603774,0,80.22226415,4.307390165,4
128598_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,29.54042254,18.42093897,23.98068075,11.11948357,402.4650704,85725.06,0.014084507,258.67,0.042253521,0.009389671,78.7699061,5.313058849,3
128814_1,D4,DEKALB390,S0,AgrCons,2016,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.51069767,18.40204651,23.95637209,11.10865116,402.4926047,86535.91,0.013953488,258.67,0.041860465,0.009302326,78.64981395,5.385856605,6
51985_1,D3,DEKALB395,S0,AgrCons,2015,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,1,179,46,30,5,12,62,5.961770833,0.266354167,4.31,75.955,30.03148134,19.25270333,24.64209234,10.77877801,403.2676078,75007.77505,0.037634409,386.73,0.080645161,0,78.60525466,5.259619909,6.45
55377_1,D2,DEKALB395,S0,AgrCons,2015,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,1,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.4348981,20.01156916,25.22323363,10.42332894,420.0329221,59644.67494,0.042253521,384.73,0.105633803,0,78.8923054,5.351515131,4.8
60713_1,D4,DEKALB395,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,0,1,188,69,60,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.89919125,19.08797288,24.49358207,10.81121837,399.6040921,76324.38159,0.036649215,386.73,0.078534031,0,78.3972637,5.359462633,4
61843_1,D4,DEKALB395,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,0,1,137,87,85.5,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.74793471,18.80734461,24.27763966,10.9405901,396.043984,75644.40094,0.031413613,384.73,0.078534031,0.010471204,78.21014328,5.601715184,5.5
61849_1,D2,DEKALB395,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,0,1,188,69,60,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,29.74793471,18.80734461,24.27763966,10.9405901,396.043984,75644.40094,0.031413613,384.73,0.078534031,0.010471204,78.21014328,5.601715184,4
61851_1,D4,DEKALB395,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,0,1,188,69,60,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.74793471,18.80734461,24.27763966,10.9405901,396.043984,75644.40094,0.031413613,384.73,0.078534031,0.010471204,78.21014328,5.601715184,3.5
106545_1,D2,DEKALB395,S0,AgrCons,2016,1,0,0,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,156.075,46,30,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,29.88525,19.72625,24.80575,10.159,403.1261875,64500.19,0.01875,264.47,0.05625,0,80.25125,4.309448848,4
11434_1,D4,OTRAS,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,69,0,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.04831359,17.94918549,22.99874954,10.09912811,278.5417284,43452.50963,0,1027,0.230769231,0.006410256,81.85682278,4.117067581,4.5
14341_1,D4,OTRAS,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,1,124,23,0,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.23224574,18.31381382,23.27302978,9.91843192,269.4664994,53084.90038,0.005076142,1610.2,0.263959391,0.005076142,82.35115138,4.36258688,4.8
14536_1,D4,OTRAS,S0,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,1,184.4,0.6,0.2,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.05704381,18.11261106,23.08482743,9.944432752,270.9371374,52019.93038,0,1592.6,0.265625,0.005208333,82.37540011,4.545109269,4.5
14540_1,D4,OTRAS,S1,LabCeroMin,2012,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,1,110.4,0.6,0.2,29,22,49,7.33851772,2.958520648,27.59935301,84.78686529,28.07388995,18.06753552,23.07071274,10.00635443,275.9739909,49123.37038,0,1329,0.258426966,0.005617978,82.04801585,4.307711685,5.5
53505_1,D4,OTRAS,S1,LabConvTra,2015,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,1,1,1,213.56,28.52,0,17,27,56,6.5409375,1.639947917,14.93588542,58.11372396,30.89281726,19.12146267,25.00713996,11.77135459,419.3218332,69188.10248,0.018181818,477.69,0.096969697,0,80.59330028,4.757390502,4.5
45100_1,D4,DEKALB7500,S1,LabCeroMin,2014,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,110,46,0,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.47945389,18.50333296,23.99139343,10.97612092,429.349439,60108.92146,0.014285714,745.4,0.15,0,82.3604502,5.74007684,4.5
46851_1,D2,DEKALB7500,S1,AgrCons,2014,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,2,32,23,15,47,23,30,7.878598485,1.254905303,30.23157197,100,27.49900482,18.58917169,23.04408825,8.909833133,320.3869155,51902.6803,0,1649.2,0.240740741,0,88.03482155,6.951268028,4.6
51968_1,D4,DEKALB7500,S0,LabCeroMin,2015,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,2,1,0,1,179,46,30,26,26,48,6.630189429,1.175022481,18.15067472,83.421327,30.12643939,19.32780564,24.72712251,10.79863375,405.785166,73447.11505,0.038674033,386.73,0.082872928,0,78.65313462,5.255297652,4.45
53524_1,D4,DEKALB7500,S1,LabCeroMin,2015,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,0,1,184,0,0,22,23,55,5.219881885,1.0569118,13.67510446,34.51770002,30.87726248,19.44446852,25.1608655,11.43279396,423.0579014,62612.56941,0.02027027,463.49,0.101351351,0,81.07523342,4.695556619,2
55471_1,D3,DEKALB7500,S1,AgrCons,2015,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,1,156,46,30,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,30.0389007,19.30162807,24.67026438,10.73727263,403.3770807,75028.137,0.037634409,395.73,0.080645161,0,78.62305036,5.257317939,2.1
55495_1,D3,DEKALB7500,S1,AgrCons,2015,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,1,156,46,30,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,30.01837182,19.27322364,24.64579773,10.74514818,402.4558698,75259.24765,0.037433155,395.73,0.080213904,0,78.63052068,5.2531382,1.8
57361_1,D4,DEKALB7500,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,2,1,0,1,120.6147,46.08,30.06,28,20,52,6.64986575,0.820993804,16.16617467,76.60158586,30.19924455,19.47215068,24.83569761,10.72709387,406.6934663,72391.437,0.039325843,395.73,0.084269663,0,78.69824364,5.200914362,4.1
57366_1,D4,DEKALB7500,S0,AgrCons,2015,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,2,0,1,147,23,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,30.16784005,19.46029674,24.8140684,10.70754331,405.5288632,72184.13765,0.039325843,395.73,0.084269663,0,78.70756948,5.203721428,6.25
58911_1,D4,DEKALB7500,S0,AgrCons,2015,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,1,156,46,30,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,30.09432353,19.31093924,24.70263139,10.78338429,404.5927046,74445.05765,0.038043478,395.73,0.081521739,0,78.61873569,5.285629936,3.4
109262_1,D4,DEKALB7500,S0,AgrCons,2016,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,3,2,0,1,156,46,30,24,29,46,7.797641916,3.444427351,25.2968481,94.67027638,29.78233696,19.29048913,24.53641304,10.49184783,401.5546196,73886.05,0.02173913,264.47,0.048913043,0,79.56983696,4.623718783,5
109292_1,D3,DEKALB7500,S0,AgrCons,2016,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,3,2,0,1,156,46,30,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,29.67293194,19.06774869,24.37034031,10.60518325,400.2272775,76443.41,0.020942408,266.47,0.047120419,0,79.45544503,4.826192973,4.8
109595_1,D3,DEKALB7500,S0,AgrCons,2016,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,3,2,0,1,156,46,30,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,29.78625668,19.18951872,24.4878877,10.59673797,401.6066845,75100.45,0.021390374,264.47,0.048128342,0,79.4715508,4.657723641,5.1
109659_1,D4,DEKALB7500,S0,AgrCons,2016,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,3,2,0,1,156,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.63740933,18.95870466,24.29805699,10.67870466,400.9682383,77386.87,0.020725389,266.47,0.046632124,0.005181347,79.4165285,4.81612665,5.3
109723_1,D3,DEKALB7500,S0,AgrCons,2016,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,3,2,0,1,156,46,30,49,21,30,5.773192918,1.839676435,17.86984127,61.47150794,29.63740933,18.95870466,24.29805699,10.67870466,400.9682383,77386.87,0.020725389,266.47,0.046632124,0.005181347,79.4165285,4.81612665,4.7
109776_1,D4,DEKALB7500,S0,AgrCons,2016,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,3,2,0,1,156,46,30,30,23,46,6.362903453,1.060127903,21.11588415,74.6068042,29.77327957,19.22010753,24.49669355,10.55317204,401.5096237,74680.79,0.021505376,264.47,0.048387097,0,79.51645161,4.629536815,4.1
55391_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.31610019,19.87556658,25.09583339,10.44053361,414.4173229,64234.68505,0.04516129,386.73,0.096774194,0,78.85843463,5.274632392,5.8
55449_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.26604921,19.94642366,25.10623644,10.31962555,414.3769463,63399.67279,0.045751634,395.73,0.098039216,0,78.9265841,5.297739824,5
55507_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.17519954,19.72047595,24.94783774,10.45472359,407.354712,62325.27094,0.039215686,384.73,0.098039216,0,79.02227037,5.351772918,5.6
55709_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,30.2038175,19.74181295,24.97281522,10.46200455,408.6218265,63745.00494,0.038461538,384.73,0.096153846,0,79.00164979,5.303769998,5
55765_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.2038175,19.74181295,24.97281522,10.46200455,408.6218265,63745.00494,0.038461538,384.73,0.096153846,0,79.00164979,5.303769998,5
55767_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.31702961,19.87400536,25.09551748,10.44302424,413.8340946,63316.61647,0.045751634,386.73,0.098039216,0,78.91534227,5.279698141,4.4
55780_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,3,0,1,165,69,60,44,20,36,7.278255713,1.019558155,32.35618467,91.24216594,30.2546463,19.74501831,24.9998323,10.50962798,410.0756366,63151.64803,0.038961039,384.73,0.097402597,0,78.96706083,5.297460945,5.5
55784_1,D2,DEKALB935,S0,AgrCons,2015,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,2,3,0,1,188,69,60,40,21,38,7.565022321,0.995455014,32.0184478,87.46197115,30.2546463,19.74501831,24.9998323,10.50962798,410.0756366,63151.64803,0.038961039,384.73,0.097402597,0,78.96706083,5.297460945,6
